model-outliers-metric,MinMaxScaler(),RobustScaler(),StandardScaler()
poi-wo-MAE,0.0,0.14316266763176388,0.18328019462163636
poi-wo-MSE,0.0,0.2258349307121631,0.2761470671863061
poi-wo-RMSE,0.0,0.12011450449447791,0.14901416738641005
poi-no-MAE,0.0,0.11955871271623475,0.16693322873795358
poi-no-MSE,0.0,0.1912330087049965,0.26156981111877664
poi-no-RMSE,0.0,0.10026520662812022,0.13955078987831115
svr-no-MAE,0.09089252121159408,0.07334969657764079,0.0
svr-no-MSE,0.14068570386666823,0.11175760584286165,0.0
svr-no-RMSE,0.07270862760596464,0.05714235445677762,0.0
lin-wo-MAE,0.9792559897971207,0.9999999999982555,0.0
lin-wo-MSE,0.9995745860595502,1.0,0.0
lin-wo-RMSE,0.97899901471728,0.9999999999998197,0.0
rf-no-MAE,0.0,0.0008555071664686498,0.0027043862899971405
rf-no-MSE,0.0,0.005612856039123759,0.006878957368442351
rf-no-RMSE,0.0,0.0002965330242234998,0.001399871012208509
rf-wo-MAE,0.0,0.005134257808809273,0.005145850890695969
rf-wo-MSE,0.001154735932885842,0.0,0.009086302469599516
rf-wo-RMSE,0.0036981461627659806,0.004934714399035478,0.0
svr-wo-MAE,0.05097010514782907,0.08327891454273528,0.0
svr-wo-MSE,0.08689988724626563,0.11848570403552738,0.0
svr-wo-RMSE,0.04414962658286059,0.061532936560133256,0.0
lin-no-MAE,0.9996093135279227,0.9999999999994829,0.0
lin-no-MSE,0.9999998476657195,1.0,0.0
lin-no-RMSE,0.9995107159450175,0.9999999999999367,0.0
